"Series Description","90-Day AA Financial Commercial Paper Interest Rate","90-Day AA Nonfinancial Commercial Paper Interest Rate"
"Unit:","Percent","Percent"
"Multiplier:","1","1"
"Currency:","NA","NA"
"Unique Identifier: ","H15/H15/RIFSPPFAAD90_N.B","H15/H15/RIFSPPNAAD90_N.B"
"Time Period","RIFSPPFAAD90_N.B","RIFSPPNAAD90_N.B"
2018-01-02,1.68,1.58
2018-01-03,1.63,1.57
2018-01-04,1.66,1.59
2018-01-05,1.66,1.58
2018-01-08,1.65,1.57
2018-01-09,1.65,1.58
2018-01-10,1.62,1.58
2018-01-11,1.68,1.57
2018-01-12,1.65,1.58
2018-01-15,ND,ND
2018-01-16,1.65,1.58
2018-01-17,1.66,1.59
2018-01-18,1.70,1.57
2018-01-19,1.68,1.58
2018-01-22,1.66,1.59
2018-01-23,1.67,1.60
2018-01-24,1.71,1.61
2018-01-25,1.70,1.62
2018-01-26,1.71,1.61
2018-01-29,1.68,1.60
2018-01-30,1.67,1.62
2018-01-31,1.69,1.63
2018-02-01,1.69,1.60
2018-02-02,1.70,1.62
2018-02-05,1.72,1.65
2018-02-06,1.72,1.63
2018-02-07,1.62,1.64
2018-02-08,1.66,1.67
2018-02-09,1.72,1.69
2018-02-12,1.61,1.69
2018-02-13,1.67,1.67
2018-02-14,1.84,1.70
2018-02-15,1.80,1.71
2018-02-16,1.86,1.66
2018-02-19,ND,ND
2018-02-20,1.85,1.75
2018-02-21,1.79,1.77
2018-02-22,1.91,1.75
2018-02-23,1.93,1.70
2018-02-26,1.94,1.72
2018-02-27,1.91,1.74
2018-02-28,1.89,1.76
2018-03-01,1.96,1.74
2018-03-02,1.91,1.76
2018-03-05,2.01,1.75
2018-03-06,2.04,1.87
2018-03-07,1.79,1.85
2018-03-08,2.02,1.88
2018-03-09,2.09,1.91
2018-03-12,2.05,1.88
2018-03-13,2.05,1.90
2018-03-14,1.92,1.91
2018-03-15,2.09,1.91
2018-03-16,2.10,1.90
2018-03-19,2.09,1.94
2018-03-20,2.18,1.90
2018-03-21,2.25,1.93
2018-03-22,2.21,1.91
2018-03-23,2.15,1.94
2018-03-26,1.92,1.95
2018-03-27,2.20,1.99
2018-03-28,2.24,2.02